,x,y,z,r,g,b
173,-2.0875509,-3.381252,4.7317066,0.9881891580161477,0.5707035755478662,0.44521337946943484
174,-2.2382753,-3.504266,4.8666415,0.9881891580161477,0.5707035755478662,0.44521337946943484
175,1.2162191,-3.2122366,8.533628,0.47320261437908495,0.43267973856209146,0.6993464052287581
176,1.7742848,-7.7213492,5.9480257,0.17139561707035755,0.581514801999231,0.2979008073817762
177,2.3005638,-8.499535,6.3604984,0.17139561707035755,0.581514801999231,0.2979008073817762
178,2.2411458,-7.9806995,6.839957,0.17139561707035755,0.581514801999231,0.2979008073817762
179,2.2360005,-8.431614,6.3791423,0.17139561707035755,0.581514801999231,0.2979008073817762
180,3.1505163,-8.307125,7.300052,0.17139561707035755,0.581514801999231,0.2979008073817762
181,2.8874116,-7.6127567,7.6583643,0.17139561707035755,0.581514801999231,0.2979008073817762
182,2.883071,-8.567578,6.6997805,0.17139561707035755,0.581514801999231,0.2979008073817762
183,1.503712,-3.052584,8.997412,0.47320261437908495,0.43267973856209146,0.6993464052287581
184,1.0613948,-3.3110206,8.292523,0.47320261437908495,0.43267973856209146,0.6993464052287581
185,1.3312886,-3.1875467,8.647455,0.47320261437908495,0.43267973856209146,0.6993464052287581
186,1.333389,-3.2040076,8.837365,0.47320261437908495,0.43267973856209146,0.6993464052287581
187,3.059552,-7.5109696,7.6112013,0.17139561707035755,0.581514801999231,0.2979008073817762
188,1.3854983,-3.1463964,8.692957,0.47320261437908495,0.43267973856209146,0.6993464052287581
189,0.26094034,-4.898723,4.7268553,0.1271049596309112,0.4401845444059977,0.7074971164936563
190,1.6611636,-6.3255935,6.4454536,0.1271049596309112,0.4401845444059977,0.7074971164936563
191,-0.074147746,-5.1098924,6.4704747,0.9137254901960784,0.3686274509803921,0.050980392156862744
192,-2.8286796,-2.8531983,5.6951203,0.9344867358708189,0.2286812764321415,0.17139561707035755
193,1.228541,-7.487449,7.5483565,0.17139561707035755,0.581514801999231,0.2979008073817762
194,-2.9242125,-2.8089676,5.853643,0.7925720876585928,0.09328719723183392,0.11298731257208766
195,2.5862854,-8.566799,7.0668187,0.17139561707035755,0.581514801999231,0.2979008073817762
196,-2.073312,-3.5623033,4.718801,0.9881891580161477,0.5707035755478662,0.44521337946943484
197,-2.4231455,-3.2100434,5.2999897,0.9882352941176471,0.732072279892349,0.6299269511726259
198,-0.091198,-5.683368,6.051008,0.1271049596309112,0.4401845444059977,0.7074971164936563
199,2.548309,-8.159227,7.714783,0.17139561707035755,0.581514801999231,0.2979008073817762
200,0.9903481,-7.40358,6.4281836,0.17139561707035755,0.581514801999231,0.2979008073817762
201,2.248395,-6.743785,6.0263543,0.17139561707035755,0.581514801999231,0.2979008073817762
202,-0.32672217,-5.0124364,5.885657,0.9914186851211073,0.550726643598616,0.23277201076509035
203,-0.5268286,-5.897874,6.370749,0.9921568627450981,0.726797385620915,0.49150326797385624
204,2.2473598,-8.5354805,6.6265926,0.17139561707035755,0.581514801999231,0.2979008073817762
205,2.638827,-8.5570755,7.742797,0.17139561707035755,0.581514801999231,0.2979008073817762
206,2.747513,-8.210042,6.286532,0.17139561707035755,0.581514801999231,0.2979008073817762
207,2.755737,-7.9609222,7.8145504,0.17139561707035755,0.581514801999231,0.2979008073817762
208,2.964097,-8.576248,7.8665776,0.17139561707035755,0.581514801999231,0.2979008073817762
209,-1.8705882,-2.3810325,5.8383565,0.7925720876585928,0.09328719723183392,0.11298731257208766
210,1.573454,-8.264199,6.743989,0.17139561707035755,0.581514801999231,0.2979008073817762
211,3.0173512,-8.502911,7.9287925,0.17139561707035755,0.581514801999231,0.2979008073817762
212,1.8387398,-7.6736665,6.14194,0.3388235294117647,0.7117262591311034,0.40584390618992694
213,1.7451609,-7.794982,6.0852604,0.17139561707035755,0.581514801999231,0.2979008073817762
214,-2.792022,-2.990217,5.992563,0.9344867358708189,0.2286812764321415,0.17139561707035755
215,-2.197643,-2.5351503,5.887934,0.6403844675124952,0.05720876585928489,0.08149173394848133
216,2.6990695,-7.8321147,8.369851,0.17139561707035755,0.581514801999231,0.2979008073817762
217,0.8321244,-6.7986827,5.140784,0.5573241061130334,0.8164244521337947,0.546958861976163
218,2.5568037,-8.460946,7.4702406,0.17139561707035755,0.581514801999231,0.2979008073817762
219,2.7020779,-8.468153,7.44238,0.17139561707035755,0.581514801999231,0.2979008073817762
220,1.4837955,-3.1465619,8.69744,0.47320261437908495,0.43267973856209146,0.6993464052287581
221,2.0289237,-8.535828,6.8185534,0.17139561707035755,0.581514801999231,0.2979008073817762
222,2.2707877,-8.381246,7.6934195,0.17139561707035755,0.581514801999231,0.2979008073817762
223,2.9361248,-8.291242,8.035379,0.17139561707035755,0.581514801999231,0.2979008073817762
224,2.9788857,-8.397333,7.8850245,0.17139561707035755,0.581514801999231,0.2979008073817762
225,3.2439215,-8.260158,7.736181,0.17139561707035755,0.581514801999231,0.2979008073817762
226,-2.145544,-2.2270963,6.1450396,0.6403844675124952,0.05720876585928489,0.08149173394848133
227,-2.8074884,-2.9391217,6.0399117,0.9344867358708189,0.2286812764321415,0.17139561707035755
228,2.8796196,-8.664255,7.301741,0.17139561707035755,0.581514801999231,0.2979008073817762
229,3.1073895,-8.530821,7.939094,0.17139561707035755,0.581514801999231,0.2979008073817762
230,1.1852561,-7.976585,6.792367,0.17139561707035755,0.581514801999231,0.2979008073817762
231,3.168738,-8.2146635,7.8427777,0.17139561707035755,0.581514801999231,0.2979008073817762
232,-2.9080293,-2.8942876,6.0680013,0.9344867358708189,0.2286812764321415,0.17139561707035755
233,2.9445715,-8.58578,7.4138713,0.17139561707035755,0.581514801999231,0.2979008073817762
234,1.5079089,-6.6420774,6.0135155,0.9137254901960784,0.3686274509803921,0.050980392156862744
235,-1.8861102,-2.500429,6.262955,0.6403844675124952,0.05720876585928489,0.08149173394848133
236,-2.5754492,-2.7482226,5.596182,0.9881891580161477,0.5707035755478662,0.44521337946943484
237,-2.7368045,-3.0550516,5.155285,0.9882352941176471,0.732072279892349,0.6299269511726259
238,-2.2389946,-3.1007848,4.864694,0.9882352941176471,0.732072279892349,0.6299269511726259
239,1.9803092,-7.834299,6.2000294,0.17139561707035755,0.581514801999231,0.2979008073817762
240,3.7179763,-6.761789,6.62514,0.017762399077277974,0.44267589388696654,0.18523644752018453
241,2.600247,-7.679887,7.4328136,0.17139561707035755,0.581514801999231,0.2979008073817762
242,3.006326,-8.05281,6.836244,0.17139561707035755,0.581514801999231,0.2979008073817762
243,2.813828,-6.9219403,7.6559496,0.17139561707035755,0.581514801999231,0.2979008073817762
244,1.3958797,-7.272515,5.9354424,0.5573241061130334,0.8164244521337947,0.546958861976163
245,3.7260778,-6.873127,6.455179,0.017762399077277974,0.44267589388696654,0.18523644752018453
246,2.7879841,-7.084902,6.720083,0.17139561707035755,0.581514801999231,0.2979008073817762
247,1.8309557,-7.1995745,5.9038124,0.3388235294117647,0.7117262591311034,0.40584390618992694
248,2.0552447,-7.1757755,5.6637645,0.5573241061130334,0.8164244521337947,0.546958861976163
249,1.9353862,-6.6685696,5.5011997,0.3388235294117647,0.7117262591311034,0.40584390618992694
250,-0.8121189,-4.231948,4.5672956,0.9881891580161477,0.5707035755478662,0.44521337946943484
251,-0.24083884,-5.1939864,5.2097774,0.7145098039215686,0.23418685121107266,0.009273356401384082
252,3.1988008,-8.540508,7.665388,0.17139561707035755,0.581514801999231,0.2979008073817762
253,2.758538,-7.63233,7.527443,0.17139561707035755,0.581514801999231,0.2979008073817762
254,-1.2406459,-3.8714204,5.9279704,0.9137254901960784,0.3686274509803921,0.050980392156862744
255,-1.3902148,-3.7725682,5.92358,0.9137254901960784,0.3686274509803921,0.050980392156862744
256,-1.0524489,-4.374326,5.0885077,0.9137254901960784,0.3686274509803921,0.050980392156862744
257,-0.32169664,-4.825728,5.1629825,0.7145098039215686,0.23418685121107266,0.009273356401384082
258,0.77904934,-6.169333,5.9837737,0.17139561707035755,0.581514801999231,0.2979008073817762
259,2.3231342,-7.931107,6.5519595,0.5573241061130334,0.8164244521337947,0.546958861976163
260,1.9234424,-8.021311,6.3430953,0.17139561707035755,0.581514801999231,0.2979008073817762
261,0.510231,-4.9912577,4.68709,0.7145098039215686,0.23418685121107266,0.009273356401384082
262,1.1508696,-2.9317353,8.501075,0.47320261437908495,0.43267973856209146,0.6993464052287581
263,-0.3798574,-4.687041,5.4997063,0.9914186851211073,0.550726643598616,0.23277201076509035
264,1.1351595,-5.020034,5.4402747,0.1271049596309112,0.4401845444059977,0.7074971164936563
265,1.2298449,-5.1083875,5.780921,0.1271049596309112,0.4401845444059977,0.7074971164936563
266,1.2865909,-3.2198272,8.79024,0.47320261437908495,0.43267973856209146,0.6993464052287581
267,1.0236473,-5.4003625,5.883693,0.1271049596309112,0.4401845444059977,0.7074971164936563
268,1.101928,-3.3428783,8.469759,0.1271049596309112,0.4401845444059977,0.7074971164936563
269,1.52411,-3.1225758,8.671443,0.47320261437908495,0.43267973856209146,0.6993464052287581
270,0.8424594,-6.0949893,4.753897,0.41708573625528644,0.6806305267204922,0.8382314494425221
271,-0.95482016,-4.006338,5.4186606,0.9137254901960784,0.3686274509803921,0.050980392156862744
272,-0.4572251,-5.6944704,6.2865887,0.9921568627450981,0.726797385620915,0.49150326797385624
